track_id,metadata_text
2,awol food
5,awol this world
10,kurt vile freeway
140,alec k redfearn the eyesores queen of the wires
141,alec k redfearn the eyesores ohio
148,contradiction blackout 2
182,ariel pinks haunted graffiti jules lost his jewels
190,ed askew castle of stars
193,ed askew here with you
194,ed askew all i want to do
197,ed askew piano 2
200,ed askew baby come home
203,ed askew song for r
204,ed askew my dream
207,ed askew piano 3
210,ed askew in the french court
211,ed askew in america
212,ed askew when i arive
213,au boute
255,bird names we want to be old
256,black elk toggle
368,blah blah blah vampires
424,brian joseph davis the ambient honky
459,cave machines and muscles
534,charles manson i can see you
540,charles manson the black pirate
546,charles manson if you have no one
574,clockcleaner caliente queen
602,dora bleu disappearing
615,ekg immaterial side a
620,ed askew arabesque
621,ed askew blue eyed baby
625,ed askew climbing to the top
666,explode into colors heat
667,explode into colors sharpen the knife
676,fanatic the tension
690,flying luttenbachers cataclysm
694,food for animals planet say featuring faust
695,food for animals elephants
704,fósforo mano de dios
705,fósforo tio cocodrilo
706,fósforo esto es califas
707,fósforo cochabamba
708,fósforo desconocido
709,fósforo cumbia de obama
714,fursaxa circle moon
715,fursaxa kokopelli
716,fursaxa saxalainen
718,fursaxa song of the spindle berry
777,glove compartment relaxing
814,hall of fame motion passings
821,hecuba sir
822,hecuba tom jerry
825,here comes a big black cloud death march
853,hutzl ukranian ensemble welsinsni melodyi
890,ilyas ahmed softly tomorrow
892,ilyas ahmed phantom sky
897,infinite body 02
993,jad fair and jason willett or so ive been told tags baltimore
995,kevin shields no good deed goes unpunished
997,kevin shields nothings ever ending
998,kevin shields apparently
1039,lightning bolt 13 monsters
1040,lightning bolt dracula mountain
1066,lucky dragons helicopter de cristal
1069,lucky dragons un lagrima en la discoteca
1073,lucky dragons onda tocadisco
1075,lucky dragons painful corazon
1082,m nguyen van minhcon nam nhitu
1083,magic lantern feasting on energy
1087,mahjongg tell the police the truth
1102,mary halvorson and weasel walter rare vodka from the fourteenth century
1193,mount eerie wooly mammoths absence
1195,mount eerie with my hands out
1196,mount eerie 2 blonde braids
1197,mount eerie my burning
1249,nautical almanac cleanse bath 10 metal laquer tags baltimore
1259,nautical almanac rolling in the green
1270,necropolis cocksuckerbastardmotherfucker
1276,negativland richard nixon died today
1277,negativland no business
1278,negativland downloading
1417,pierced arrows guns of thunder
1427,plastic crimewave sound i feel evils
1443,pocahaunted time fist
1482,rainbro reindeer dance
1510,ric royer amp g lucas crane zombie
1544,samara lubelski song of the stations
1642,so cow hrz
1644,so cow outskirts
1649,so cow inis meain
1661,so cow only fools and horses theme
1663,softboiled eggies so high
1666,softboiled eggies she fell through the trees
1673,solemn man track 07
1680,the sounds of taraab bashraf salama
1681,the sounds of taraab daka kozi manowe
1682,the sounds of taraab nie zama nie sema
1683,the sounds of taraab mapenzi matamu
1684,the sounds of taraab mahaba wa taka nini
1685,the sounds of taraab eni wana damu
1686,the sounds of taraab rufiji
1687,the sounds of taraab lala mpenzi lala
1688,the sounds of taraab sishituki
1689,the sounds of taraab unalo
1701,spires that in the sunset rise clouds
1702,spires that in the sunset rise java pop
1703,spires that in the sunset rise equus haar
1704,spires that in the sunset rise morning song
1706,strapping fieldhands in the pineys
1720,sun araw harken sunshine
1732,teeth mountain black jerusalem
1733,teeth mountain keinsein
1735,teeth mountain ghost science
1736,teeth mountain soft beast
1883,the yolks i do what i do
1891,thee oh sees kids in cars
1893,tommy jay memories
1924,the twin atlas calling for you
1925,the twin atlas happy at the wheel
1929,us girls buzz chant tags avant garde noise san francisco big city orchestrae big city orchestrae womens auxiliary american cassette noise network baltimore
1930,upsilon acrux so therebyand furthermorethus henceforthmono
2012,white mice the white mice
2096,grouper title unknown
2097,hall of fame my sweet miasma
2099,luc like bacon sundays
3263,ai aso a date
3264,ai aso tee te te
3265,ai aso lavender
3266,ai aso land
3270,arborea song for obol
3271,arborea beirut
3272,arborea seadrift
3273,arborea redbird
3274,arborea forewarned
3492,citay on the wings
3532,cryptacize heaven is human
3533,cryptacize new spell
3534,cryptacize cosmic singalong
3535,cryptacize no coins
3537,cryptacize well never dream again
3538,cryptacize say you will
3573,dan deacon piggled
3598,ed askew little eyes
3624,fallen leaves days of summer
3707,gary higgins stable the spuds
3708,gary higgins thicker than a smokey
3720,indian jewelry walking on the water
3721,indian jewelry pow wow
3722,indian jewelry swans
3724,indian jewelry temporary famine ship
3725,indian jewelry west alabama
3761,kinski improv
3762,kinski snowy parts of scandinavia
3763,kinski shelley winters overdrive
3765,kinski waves of second guessing
3766,kinski rhode island freakout
3775,la troba kungfu cumbia infierno
3776,la troba kungfu la canco de lladre
3777,la troba kungfu volant
3778,la troba kungfu calor calor
3779,la troba kungfu rock rumba
3832,lior bedoin song
3833,lightning bolt track 01
3840,lightning bolt track 08
3880,mary halvorson and jessica pavone crawling
3895,metrofolk invitita and de cingheri from transylvania
3896,metrofolk gypsy csardas and mens dances from kalotaszeg
3904,michael chapman sometimes
3905,michael chapman twisted road
3906,michael chapman sometimes
3908,michael chapman caddo lake
3909,michael chapman dewbury road that time of night
3910,michael chapman kodak ghosts
3911,michael chapman dust devils
3912,michael chapman faheys flag
3913,michael chapman memhpis in winter
3920,michael holt fragrant rota
3921,michael holt hiawathas lullaby
3950,miss derringer click click bang bang
4013,nalle ravens
4017,nalle new roots
4022,negative approach cant tell no one
4037,neil halstead oh mighty engine
4066,peter walker soleade
4067,peter walker por rosa
4068,peter walker alegrias variation
4069,peter walker tune on karen daltons guitar
4070,pistolera nuevos ojos
4071,pistolera mentirosas
4072,pistolera tatuaje
4073,pistolera policia
4074,pistolera vieja
4075,pistolera un momento
4076,pistolera no te olvidare
4077,pistolera algo pa que te olvides
4078,pistolera no suspires
4079,pistolera extranjero
4080,pistolera cazador
4091,polka madre 1864
4092,polka madre nina olga vodka
4093,polka madre amsterdam
4094,polka madre vida propia
4095,polka madre funeral brahms
4096,polka madre la fin du monde
4097,polka madre clammy hands
4098,polka madre russo trap
4099,polka madre stalins head
4100,polka madre gitanas mojadas
4101,polka madre karjalainen tanssi
4102,polka madre herasinkuoleena
4103,polka madre circo del siglo
4108,psychedelic horseshit new wave hippies
4232,the sounds of taraab bowmazan ya mahaba bi kidude song
4233,the sounds of taraab interview
4234,the sounds of taraab mapenzi matamu
4235,the sounds of taraab kanilemaza ikhwani safaa
4236,the sounds of taraab enyi wana damu sharmila and black star orchestra
4239,the sounds of taraab shishituki
4450,twi the humble feather adventures of castle one
4507,yan yalego mon amant de st jean
4508,yan yalego five foot two
4509,yan yalego haricots
4510,yan yalego no title
4511,yan yalego petit n mwen
4519,high places golden
4520,high places from stardust to sentience
4521,high places namer
4522,high places oceanus
4682,dälek asylum permanent underclass
4684,dälek eyes to form shadows
4685,dälek ever somber
4688,dälek culture for dollars
